FirstName,LastName,Full_Name,PersonEmail,PersonGenderIdentity,PersonBirthdate,PersonMobilePhone,Street_Address_1,Street_Address_2,Street_Address_3,City,State,Postal_Code,Country,Nationality,Customer_Risk_Rating,Customer_Status,KYC_Done_Date,Common_Client_Code,Company_Name,Line_of_Business,Maritual_Status,PAN,Passport_No,Phone,Salutation
Maria,Miller,Maria Miller,wilsonscott@example.com,Male,1970-05-22,875-775-9675,447 Harris Manors Suite 223,,,Burtonmouth,IN,21835,USA,American,Medium,Active,2023-12-18,CC001,Lambert Group,Healthcare,Single,SQTNJ9391J,R7513233,001-503-438-8555x6326,Dr
Peter,Padilla,Peter Padilla,fjordan@example.net,Transgender,1969-12-19,(993)463-1289x5904,868 Jacob Shoals Suite 722,Apt. 276,,Thomaschester,TN,97162,USA,American,High,Active,2024-09-23,CC002,"Howard, Krueger and Aguirre",Healthcare,Single,WXCRQ66067J,X9553897,898-392-2362,Mx
John,Duarte,John Duarte,tonyabrown@example.com,Male,1981-10-22,289-705-4763x3839,975 Emily Pass,,,Port Michelemouth,IA,80054,USA,American,Medium,Inactive,2024-08-05,CC003,Soto-Perez,Finance,Divorced,GNHXQ38261G,H3528874,249.736.4886x3612,Dr
Katelyn,Mills,Katelyn Mills,colemanwesley@example.net,Male,1947-12-30,001-525-572-3896x46427,150 Patterson Valleys Apt. 097,Apt. 594,,Port Lori,GU,16898,USA,American,Low,Active,2024-09-12,CC004,"Robinson, Anderson and Edwards",Manufacturing,Married,QWSWJ25054N,T4503381,580.245.5982,Ms
Andrea,Hanson,Andrea Hanson,jamie50@example.com,Transgender,1967-08-02,+1-685-255-7935x415,299 Sims Lakes,,,West Gregoryborough,MO,58719,USA,American,Medium,Active,2024-02-04,CC005,Allison LLC,Manufacturing,Divorced,NLYXN27584F,M1667965,001-720-675-6445x085,Mx
Matthew,Lowe,Matthew Lowe,christopherhall@example.com,Male,1945-06-19,716.445.8505x534,8911 Cynthia Trail,,,Lake James,PW,31106,USA,American,Low,Active,2024-05-12,CC006,"Kennedy, Miller and Dixon",IT,Single,CRVEB47676A,U1090688,001-209-732-3603x478,Mr
Bradley,Mathis,Bradley Mathis,heatherrodriguez@example.org,Transgender,1944-02-16,+1-495-804-1575x960,81426 Linda Light,Suite 266,,New Chelseaville,MP,46262,USA,American,Medium,Active,2024-07-11,CC007,Evans-Johnson,Finance,Divorced,ZHDFE6643J,Z7806162,(244)423-1846,Mx
Amber,Burgess,Amber Burgess,ronaldsmith@example.net,Male,1963-11-18,(403)596-5594x099,53857 Christina Prairie Suite 596,,,West Ashley,MO,81197,USA,American,High,Active,2024-03-08,CC008,"Martin, Cook and Lawson",Retail,Married,QMJFL96551P,X953583,(907)210-4264x9975,Mrs
Thomas,White,Thomas White,duncandeborah@example.com,Male,1994-09-10,937.585.1173x52263,292 James Freeway,,,Lake Justinshire,OK,21311,USA,American,Medium,Active,2024-04-12,CC009,Wood-Bishop,Manufacturing,Divorced,RTPZB92746R,M6303942,+1-329-548-1702x153,Mrs
Amber,Mccarthy,Amber Mccarthy,pclarke@example.com,Male,1973-08-27,(854)820-3694x600,655 Dwayne Via Suite 232,,,Jeffreyview,MI,82747,USA,American,High,Active,2024-04-12,CC010,Evans and Sons,Manufacturing,Single,IPTSF22669Z,X1509512,+1-274-385-4364,Mrs
Justin,Gonzalez,Justin Gonzalez,samanthahill@example.org,Male,1954-01-03,(246)506-3347x2492,564 Frost Forks,Apt. 708,,South Daniel,OK,83046,USA,American,High,Active,2024-05-17,CC011,Diaz-Hancock,Finance,Married,TUKWH14999Q,Z9003042,514.629.1440x663,Mrs
Richard,Obrien,Richard Obrien,padillabrandi@example.com,Female,1946-11-01,432-416-5131x87945,8014 Carol Station,Suite 490,,North Nicholas,DE,49932,USA,American,Low,Active,2024-01-24,CC012,"Edwards, Watts and Smith",Healthcare,Single,BHEEA85391C,J7970166,001-632-302-3546x19685,Ms
Amber,Brooks,Amber Brooks,qbradyexample.com,Female,1982-09-23,785.862.8879,70489 Baker Bridge,,,South Cheryl,MT,12074,USA,American,High,Active,2023-11-03,CC013,Pierce-Ellis,Education,Single,CDLYT23866K,H2671163,001-791-493-4694x16305,Ms
Steven,Murphy,Steven Murphy,jeremynicholson@example.com,Male,1963-05-13,469-923-6110x4478,8739 Meagan Manor Suite 160,,,Rickyburgh,TX,32035,USA,American,Low,Active,2024-07-20,CC014,"Conley, Mccullough and Young",Manufacturing,Divorced,XFLFV92007I,A9063918,3213140302,Mr
Kenneth,Martin,Kenneth Martin,mitchelljenna@example.net,Female,1965-11-15,001-904-944-5217x6565,0497 Robert Loop Suite 671,,,Lake Ashleyland,IN,85721,USA,American,Medium,Active,2024-03-06,CC015,"Hudson, Landry and Howard",Healthcare,Single,SGQUV97903B,Z204470,3508662731,Mr
Mathew,Reid,Mathew Reid,johnsonrobert@example.org,Transgender,1947-12-11,(972)688-0633x2166,392 Betty Hollow Apt. 440,,,Williamfort,PA,53229,USA,American,Low,Inactive,2024-01-18,CC016,"Lopez, Wilson and Lucas",Education,Divorced,IIWIL69357Z,A8912178,907-751-5660,Mx
Tammie,Chen,Tammie Chen,uavila@example.net,Male,1960-10-04,386-312-9658x8524,80017 Jones Villages,Suite 005,,Randyshire,NH,28371,USA,American,High,Inactive,2024-03-21,CC017,"Everett, Scott and Hernandez",Healthcare,Married,CAKFO54387O,H3877712,(341)747-0462x2928,Mr
Carlos,Garcia,Carlos Garcia,amanda73example.com,Male,2002-01-29,530.242.5735x99196,04382 Carter Harbors Apt. 502,,,New Justinchester,WA,75710,USA,American,Medium,Inactive,2024-09-01,CC018,"Parks, Pena and Rodriguez",Education,Single,RIJYB20996X,J6362684,265-531-0107x9048,Ms
Ashley,Flowers,Ashley Flowers,xmurrayexample.org,Female,2003-04-08,796-675-6321x168,01541 Richards Station Suite 370,,,Justinmouth,GA,36195,USA,American,High,Active,2023-12-31,CC019,Marshall-Hines,Retail,Married,TJEJH14740M,B3238803,+1-270-425-4340,Dr
Jesus,Robinson,Jesus Robinson,garycarrillo@example.net,Male,1947-03-18,+1-724-399-3722x5051,87542 Antonio Stravenue,,,West Jasonville,MD,73813,USA,American,High,Active,2024-06-07,CC020,Moore and Sons,IT,Married,RTPLA68415C,U7189203,855-809-6899,Mr
Ashley,Phillips,Ashley Phillips,masseyanthony@example.net,Transgender,1978-10-07,001-919-663-8436x9390,7883 Christina Greens Suite 912,,,Port Maria,DC,35491,USA,American,Medium,Inactive,2024-06-14,CC021,Collins-Smith,Retail,Married,GCUUT36587E,S6228014,+1-738-547-3175,Mx
